system:index,Aspect,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,Distance_Mn,Elevation,NDVI,NIR_Red_Ratio,Red_Green_Ratio,SWIR_NIR_Ratio,SWIR_Ratio,Slope,VH,VV,VV_VH_Difference,label,latitude,longitude,.geo,geo_age,geo_supergroup,geo_group,geo_formation,geo_lithology,geo_intrusive,geo_stratigraphy
2_1286_0,90.0,2709.5,1906.0,706.0,933.5,1063.5,1440.0,2034.0,2275.5,2429.5,2610.5,1428.6357128393506,346,0.39106786,2.2844381758345085,1.1392608462774505,1.1152500514509158,1.421563483735572,0.99850625,-16.363479626909015,-10.071174910284189,6.292304716624827,0,21.75400716211619,79.758943709941,"{""type"":""MultiPoint"",""coordinates"":[]}",ARCHAEAN,,TIRODI GNEISSIC COMPLEX,,GNEISS/MIGMATITE,,ARCHAEAN-GNEISS-MIGMATITE
2_1287_0,146.09647,3106.0,2189.0,534.0,785.0,930.0,1356.0,2131.0,2422.0,2480.0,2737.0,463409.5000105199,332,0.45454547,2.6666666666666665,1.1847133757961783,1.2524193548387097,1.4189127455459114,8.868402,-13.759398399494067,-7.453841831689992,6.305556567804077,0,21.56913387664439,80.65851663545828,"{""type"":""MultiPoint"",""coordinates"":[]}",PALAEOPROTEROZOIC,,NANDGAON,BIJLI,RHYOLITE,,PALAEOPROTEROZOIC-RHYOLITE
2_1288_0,270.0,1982.0,1169.0,528.5,713.0,679.5,1183.0,1996.0,2264.0,2490.5,2570.5,2188.37839506791,315,0.57129335,3.665194996320824,0.953015427769986,0.7958241317004617,1.6954662104362703,0.9985565,-14.784152739127482,-7.802674207264472,6.98147853186301,0,21.76101402133232,80.1475549018511,"{""type"":""MultiPoint"",""coordinates"":[]}",ARCHAEAN,,TIRODI GNEISSIC COMPLEX,,GNEISS/MIGMATITE,,ARCHAEAN-GNEISS-MIGMATITE
2_1289_0,180.0,2313.0,1523.0,665.0,892.0,1224.0,1515.0,2120.0,2342.0,2522.0,2665.0,463409.5000105199,639,0.34650293,2.060457516339869,1.3721973094170403,0.9171292624900872,1.5187130663164807,1.8543341,-18.833018493863293,-11.49885542840238,7.334163065460912,0,21.954241638946428,79.59670796962901,"{""type"":""MultiPoint"",""coordinates"":[]}",CENOZOIC,,,,LATERITE,,CENOZOIC-LATERITE
2_1290_0,107.17315,3778.0,2841.5,966.0,1259.0,1599.5,1946.5,2271.5,2519.5,2783.5,2875.0,463409.5000105199,580,0.2701346,1.740231322288215,1.2704527402700556,1.357283994970361,1.3295794474749252,3.1381228,-18.30694701777377,-11.319971025865696,6.986975991908073,0,22.010566007260724,80.75984659950696,"{""type"":""MultiPoint"",""coordinates"":[]}",PALAEOPROTEROZOIC,,,,GRANITE,MALANJKHAND GRANITE,PALAEOPROTEROZOIC-GRANITE
2_1291_0,163.35158,1707.0,1000.0,353.0,497.0,444.0,869.0,1763.0,2071.0,2286.0,2325.0,463409.5000105199,526,0.6747253,5.148648648648648,0.8933601609657947,0.7467191601049868,1.707,16.916021,-15.23611622338126,-7.736771162838556,7.499345060542703,0,21.732986584467792,80.74394641897804,"{""type"":""MultiPoint"",""coordinates"":[]}",PALAEOPROTEROZOIC - MESOPROTEROZOIC,,KHAIRAGARH,BORTALAO,SANDSTONE,,PALAEOPROTEROZOIC-MESOPROTEROZOIC-SANDSTONE
2_1292_0,270.0,2075.5,1533.0,644.5,841.5,1019.0,1295.5,1898.0,2096.5,2180.0,2344.5,463409.5000105199,617,0.36292592,2.139352306182532,1.2109328579916816,0.9520642201834862,1.3538812785388128,1.0011793,-16.974622689109896,-8.52603232471782,8.448590364392077,0,22.134264021883983,79.52475291537104,"{""type"":""MultiPoint"",""coordinates"":[]}",LATE CRETACEOUS - PALAEOCENE,DECCAN TRAP,AMARKANTAK,PIPARDAHI,BASALT,,LATE-CRETACEOUS-PALAEOCENE-BASALT
2_1293_0,242.63461,1905.0,1151.0,456.0,669.0,639.0,1063.0,1866.0,2095.0,2268.0,2311.0,463409.5000105199,500,0.5603715,3.5492957746478875,0.9551569506726456,0.83994708994709,1.6550825369244135,9.986434,-17.14912404785588,-11.267995871124732,5.881128176731149,0,21.306107161454197,80.77386031793922,"{""type"":""MultiPoint"",""coordinates"":[]}",PALAEOPROTEROZOIC - MESOPROTEROZOIC,,KHAIRAGARH,SITAGOTA,BASALT,,PALAEOPROTEROZOIC-MESOPROTEROZOIC-BASALT
2_1294_0,-0.0,3119.0,2698.0,816.0,1067.0,1369.0,1826.0,2227.0,2440.0,2345.0,2575.0,463409.5000105199,635,0.26278946,1.7129291453615778,1.283036551077788,1.3300639658848614,1.1560415122312824,4.6273675,-16.92875255791511,-5.695241514856198,11.233511043058911,0,21.959092541480675,79.50912222942735,"{""type"":""MultiPoint"",""coordinates"":[]}",CENOZOIC,,,,LATERITE,,CENOZOIC-LATERITE
2_1295_0,90.0,2641.5,1902.0,656.0,826.5,943.0,1264.5,1677.5,1876.0,2039.5,2108.0,463409.5000105199,454,0.3676446,2.162778366914104,1.1409558378705384,1.2951703848982594,1.388801261829653,3.0065887,-14.842392226841415,-8.357108950416851,6.485283276424566,0,22.39055337244328,80.13758360219737,"{""type"":""MultiPoint"",""coordinates"":[]}",LATE CRETACEOUS - PALAEOCENE,DECCAN TRAP,AMARKANTAK,MANDLA,BASALT,,LATE-CRETACEOUS-PALAEOCENE-BASALT
