system:index,Aspect,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,Distance_Mn,Elevation,NDVI,NIR_Red_Ratio,Red_Green_Ratio,SWIR_NIR_Ratio,SWIR_Ratio,Slope,VH,VV,VV_VH_Difference,label,latitude,longitude,.geo,geo_age,geo_supergroup,geo_group,geo_formation,geo_lithology,geo_intrusive,geo_stratigraphy,NDMI,NBR,NDRE,Iron_Oxide_Index,Clay_Alteration_Index,Ferrous_Index,SWIR_Red_Ratio,SWIR_Green_Ratio,NIR_SWIR2_Ratio,BSI,B11_B12_NormDiff,B8_B12_NormDiff,B4_B2_NormDiff,Sausar_Group_Proxy,Metamorphic_Host_Proxy,Geology_Unknown,Geo_Boundary_Distance_km,Geo_Boundary_Density_1km,Geo_Boundary_Density_3km,Lithology_Diversity_3km,Formation_Diversity_3km,Aspect_Sin,Aspect_Cos
2_826_0,227.1013,2564.0,1948.0,701.5,936.0,1103.0,1502.0,2052.0,2306.0,2390.5,2522.0,463409.5000105199,293,0.36854157,2.1672710788757934,1.1784188034188037,1.0725789583769083,1.3162217659137576,1.3622894,-17.435511504289956,-10.668926975694074,6.766584528595882,0,21.687172504977696,80.2235523748876,"{""type"":""MultiPoint"",""coordinates"":[]}",CENOZOIC,,,,LATERITE,,CENOZOIC-LATERITE,-0.035018669888986,0.1019937766274072,0.2534791251855171,1.5723449728120529,1.3162217652380792,0.8148922816084953,2.3245693541935,2.7393162363896195,1.2271560568649096,0.0850717561643628,0.1365248226647772,0.1019937766274072,0.2224993071640347,0,0,1,1.1534679055936068,22,77,4,1,-0.7325583436654053,-0.6807042479125556
2_981_0,180.0,2121.0,1193.5,418.5,565.0,559.5,977.5,1698.0,1973.0,2014.0,2151.5,463409.5000105199,523,0.5651836,3.59964253798034,0.9902654867256636,1.0531281032770603,1.7771260997067448,2.7802885,-14.181152081667728,-6.630387166532695,7.550764915135033,0,21.854259147823928,79.758943709941,"{""type"":""MultiPoint"",""coordinates"":[]}",ARCHAEAN,,TIRODI GNEISSIC COMPLEX,,GNEISS/MIGMATITE,,ARCHAEAN-GNEISS-MIGMATITE,-0.0258766626297758,0.2558067029599979,0.3751997442073507,1.3369175595294682,1.7771260982177408,0.5926017871933457,3.790884711723173,3.75398229424074,1.6874738150921875,0.0485038137984541,0.2798310453221206,0.2558067029599979,0.1441717789936893,0,1,0,0.9240627361263292,22,33,2,1,1.2246467991473532e-16,-1.0
2_265_0,312.974,2057.5,1304.5,610.0,881.5,947.0,1391.5,2093.5,2269.5,2288.5,2401.0,463409.5000105199,255,0.41461906,2.4165786694825764,1.0743051616562678,0.8990605199912607,1.577232656190111,1.3603677,-18.2612134492994,-10.183903702349316,8.077309746950082,0,21.303951204772307,79.76271663413429,"{""type"":""MultiPoint"",""coordinates"":[]}",ARCHAEAN,,AMGAON GNEISSIC COMPLEX,,GRANITE GNEISS/MIGMATITE,,ARCHAEAN-GRANITE-GNEISS-MIGMATITE,0.0531523239638397,0.2738658501881809,0.2661832563569721,1.5524590138484278,1.5772326549810405,0.570024032960444,2.1726504728905485,2.334089617318106,1.7543119955888753,0.0179569710286368,0.2239738250374854,0.2738658501881809,0.2164418752624008,0,1,0,0.6018933864196874,22,44,3,1,-0.7316631073466536,0.6816664120725321
2_290_0,180.0,2215.0,1338.0,604.0,860.0,849.0,1298.0,2157.0,2452.0,2550.0,2631.0,1696.1426826773743,315,0.5004413,3.0035335689045937,0.9872093023255814,0.8686274509803922,1.655455904334828,1.8543341,-16.581524055926145,-9.75255268015412,6.828971375772024,0,21.843748858999728,80.12976825922553,"{""type"":""MultiPoint"",""coordinates"":[]}",PALAEOPROTEROZOIC,,SAUSAR,MANSAR,MUSCOVITE SCHIST,,PALAEOPROTEROZOIC-MUSCOVITE-SCHIST,0.0703043021888133,0.3117283949815513,0.3392720793231682,1.405629136745647,1.6554559030975664,0.5247058821471742,2.6089517048186672,2.575581392353975,1.905829594988169,-0.014474107427714,0.2468336616248709,0.3117283949815513,0.1686166550800986,1,1,0,0.8185353662274543,44,88,5,1,1.2246467991473532e-16,-1.0
2_1307_0,110.354004,1805.0,883.0,362.0,514.0,403.0,890.0,1880.0,2279.0,2450.0,2457.0,463409.5000105199,516,0.7174904,6.079404466501241,0.7840466926070039,0.736734693877551,2.044167610419026,5.3178506,-14.050414979769076,-6.7874740216544645,7.262940958114612,0,21.95801456313973,79.88857060543944,"{""type"":""MultiPoint"",""coordinates"":[]}",ARCHAEAN,,TIRODI GNEISSIC COMPLEX,,GNEISS/MIGMATITE,,ARCHAEAN-GNEISS-MIGMATITE,0.1515863689420478,0.4701470145604119,0.4681804599736539,1.1132596654329845,2.0441676081040003,0.3604081631182008,4.478908177471692,3.511673144918924,2.774631933437563,-0.1203187250756337,0.343005952253346,0.4701470145604119,0.0535947711717715,0,1,0,2.7581908213955493,11,77,3,2,0.9375615146830066,-0.3478195023073122
2_323_0,270.0,1731.5,959.0,371.5,505.0,458.5,913.5,1836.5,2168.5,2248.0,2405.0,463409.5000105199,603,0.66118604,4.902944383860414,0.907920792079208,0.7702402135231317,1.805526590198123,3.9921787,-15.15064055121243,-8.450615099778409,6.700025451434021,0,21.90492412984827,79.5891621212424,"{""type"":""MultiPoint"",""coordinates"":[]}",ARCHAEAN,,TIRODI GNEISSIC COMPLEX,,GNEISS/MIGMATITE,,ARCHAEAN-GNEISS-MIGMATITE,0.1297901746124412,0.4019332708444237,0.4494500525992316,1.2341857301906172,1.805526588315405,0.4266014232977752,3.776444920880164,3.4287128644975984,2.344108443853901,-0.0893024222706513,0.2871213528016646,0.4019332708444237,0.1048192769821454,0,1,0,1.3045479453843425,22,77,3,1,-1.0,-1.8369701987210294e-16
2_539_0,76.902725,2294.0,1549.0,698.0,914.0,994.0,1376.0,1829.0,2005.0,2100.0,2241.0,463409.5000105199,316,0.35746607,2.112676056338028,1.087527352297593,1.0923809523809525,1.4809554551323434,4.0860434,-16.35576069503025,-9.62969672449166,6.72606397053859,0,21.46699542884,80.14674641809539,"{""type"":""MultiPoint"",""coordinates"":[]}",ARCHAEAN,,AMGAON GNEISSIC COMPLEX,,GRANITE GNEISS/MIGMATITE,,ARCHAEAN-GRANITE-GNEISS-MIGMATITE,-0.0441511151469842,0.151000274006303,0.2391484655130913,1.4240687658680964,1.4809554541762713,0.7376190472678005,2.3078470801731923,2.509846824387476,1.3557133625850784,0.0805126519749404,0.1938589643003229,0.151000274006303,0.1749408982417606,0,1,0,1.1322408832202553,55,121,5,1,0.9739867457640178,0.2266049846671925
1_373_0,-0.0,784.0,548.0,634.0,770.0,677.0,836.0,754.0,842.0,692.0,707.0,58.30951894845301,286,0.010956903,1.0221565731166913,0.8792207792207792,1.1329479768786128,1.4306569343065694,3.7047918,-22.664979033262817,-15.676511292274808,6.988467740988009,1,21.449208786214434,79.76810652583902,"{""type"":""MultiPoint"",""coordinates"":[]}",PALAEOPROTEROZOIC,,SAUSAR,CHORBAOLI,QUARTZITE,,PALAEOPROTEROZOIC-QUARTZITE,-0.0623306232640036,0.116129032164412,-0.0836033700041455,1.0678233421643164,1.4306569316958817,0.791907513306492,1.1580502198551696,1.018181816859504,1.2627737203234055,0.0484391818986583,0.1771771770441612,0.116129032164412,0.0327993897537762,1,1,0,0.3618893310851278,66,165,7,2,-0.0,1.0
1_357_0,19.7741,1520.5,726.0,389.5,527.5,461.5,838.0,1618.0,1896.0,2002.5,2169.0,50.0,446,0.62540585,4.33911159263272,0.8748815165876778,0.7593008739076155,2.0943526170798896,2.9542048,-14.281622371626796,-7.608042899419471,6.673579472207325,1,22.000055718436524,80.23460165288228,"{""type"":""MultiPoint"",""coordinates"":[]}",PALAEOPROTEROZOIC,,SAUSAR,MANSAR,BIOTITE SCHIST,,PALAEOPROTEROZOIC-BIOTITE-SCHIST,0.1368152142671543,0.4678394720660291,0.4426338541926725,1.184852371797555,2.0943526141951065,0.3625468162983536,3.2946912171295963,2.882464449511916,2.758264459010655,-0.0937357109982314,0.353661250677204,0.4678394720660291,0.0846063453764907,1,1,0,0.0057032623577183,55,143,6,3,0.3383125696481219,0.94103379600208
2_369_0,47.12074,2331.0,1586.5,653.0,868.5,1000.5,1328.0,2192.5,2552.0,2592.5,2759.0,3050.852339920764,354,0.44308376,2.5912043978010995,1.151986183074266,0.899132111861138,1.4692719823510874,1.3627869,-16.597063945860075,-9.156455125676052,7.440608820184023,0,21.78499903941832,79.79559497353307,"{""type"":""MultiPoint"",""coordinates"":[]}",ARCHAEAN,,TIRODI GNEISSIC COMPLEX,,GNEISS/MIGMATITE,,ARCHAEAN-GNEISS-MIGMATITE,0.0531126231231618,0.2407274466999934,0.3501345729507867,1.5321592625847484,1.4692719814249782,0.611957569677162,2.3298350801301,2.683937820743883,1.6341002195814054,0.0130758704556673,0.1900446712980103,0.2407274466999934,0.2101602659751071,0,1,0,3.688333331120584,11,22,2,1,0.7327892590054252,0.6804556575459416
2_445_0,90.0,2956.0,2281.0,898.0,1165.0,1473.0,1752.0,2108.0,2378.0,2482.0,2634.0,463409.5000105199,317,0.2551201,1.6849966055668704,1.2643776824034334,1.1909750201450444,1.2959228408592722,4.966078,-17.782016175749984,-10.382737351554065,7.399278824195921,0,21.33224813622208,80.03086374644397,"{""type"":""MultiPoint"",""coordinates"":[]}",PALAEOPROTEROZOIC,,SAKOLI,DHABETEKRI,PHYLLITE,,PALAEOPROTEROZOIC-PHYLLITE,-0.087164398659955,0.0422002939235355,0.2010943911990208,1.640311802182281,1.2959228402911342,0.9190169214669552,2.0067888648969525,2.5373390536160176,1.088119245467725,0.1343321807998037,0.1288905861888694,0.0422002939235355,0.242513707194216,0,1,0,0.4143110988664633,99,165,6,2,1.0,6.123233995736766e-17
2_1168_0,114.867004,2680.0,1966.5,674.5,961.5,1035.5,1514.0,2326.0,2551.0,2669.0,2721.0,463409.5000105199,558,0.44095019,2.5774987928536937,1.076963078523141,1.004121393780442,1.3628273582506991,2.2045274,-17.372706761712323,-10.383256054120793,6.98945070759153,0,22.032664563250066,80.57308685193851,"{""type"":""MultiPoint"",""coordinates"":[]}",PALAEOPROTEROZOIC,,SAUSAR,MANSAR,MUSCOVITE SCHIST,,PALAEOPROTEROZOIC-MUSCOVITE-SCHIST,-0.0020564591508587,0.1515478373095571,0.2850059031204236,1.5352112653295609,1.3628273575576773,0.7367928060184366,2.5881216778482647,2.7873114895607785,1.357233663179642,0.0526986825254712,0.1535564402983844,0.1515478373095571,0.2111111109876543,1,1,0,0.0024743892033105,66,77,5,3,0.9072863336945736,-0.4205133870533239
2_141_0,28.238214,2058.0,1238.0,565.0,835.0,808.0,1367.0,2117.0,2312.0,2322.0,2521.0,1598.780785473731,271,0.48370606,2.873762376237624,0.9676646706586828,0.8863049095607235,1.6623586429725363,2.1046226,-16.720254495937358,-8.953353405674463,7.766901090262895,0,21.40797611467335,79.77619136339608,"{""type"":""MultiPoint"",""coordinates"":[]}",NEOPROTEROZOIC,,,,GRANITE,ACID  INTRUSIVE,NEOPROTEROZOIC-GRANITE,0.0602739725889785,0.3044943819369398,0.2968106995121372,1.4300884930440911,1.6623586416297589,0.5331610678151761,2.5470296998180326,2.464670655730933,1.875605814316958,-0.0036502694240135,0.2487864076915089,0.3044943819369398,0.1769847048965879,0,0,1,0.110220749236147,55,143,7,2,0.4731384539781904,0.8809880835556902
2_532_0,31.6111,1765.0,949.0,464.0,607.0,516.0,968.0,1988.0,2354.0,2649.0,2670.0,463409.5000105199,584,0.6739336,5.133720930232558,0.8500823723228995,0.6662891657229143,1.8598524762908324,7.579065,-13.045356317558872,-6.91562739627649,6.129728921282382,0,21.80682810082241,80.66255905423682,"{""type"":""MultiPoint"",""coordinates"":[]}",PALAEOPROTEROZOIC - MESOPROTEROZOIC,,KHAIRAGARH,SITAGOTA,BASALT,,PALAEOPROTEROZOIC-MESOPROTEROZOIC-BASALT,0.2002718622110847,0.4724847135985312,0.4678394721088951,1.112068963120541,1.85985247433103,0.3582483954857499,3.4205426290299563,2.9077429935622026,2.791359322664532,-0.1542454578876074,0.3006632275973975,0.4724847135985312,0.0530612244356518,0,0,0,1.3748036579063456,22,33,3,2,0.5241509025124992,0.8516254055600576
