system:index,Aspect,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,Clay_Alteration_Index,Elevation,Ferrous_Index,Iron_Oxide_Index,NBR,NDMI,NDRE,NDVI,NIR_Red_Ratio,NIR_SWIR2_Ratio,Red_Green_Ratio,SWIR_Green_Ratio,SWIR_NIR_Ratio,SWIR_Ratio,SWIR_Red_Ratio,Slope,VH,VV,VV_VH_Difference,latitude,longitude,.geo
0_12_0,15.0325985,1735.0,957.0,509.0,719.0,599.0,1109.0,2235.0,2578.0,2659.0,2843.0,1.8129572,399.0,0.35990974,1.1768173,0.47068584,0.21028675,0.43876517,0.63228977,4.439065,2.7784743,0.8331015,2.4130738,0.6525009,0.551585,2.8964942,1.9199927,-14.449375,-8.123089,6.326287,21.425,79.505,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_0,90.0,1748.0,908.0,481.0,595.0,502.0,905.0,1812.0,2086.0,2146.0,2329.0,1.9251101,349.0,0.42311278,1.0436591,0.40537,0.102208525,0.4403216,0.6208459,4.2749004,2.3634362,0.8436975,2.9378152,0.81453866,0.5194508,3.4820716,1.4942802,-14.152471,-7.3498306,6.80264,21.435,79.505,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_0,186.13222,2210.0,1284.0,497.0,663.0,588.0,1001.0,1988.0,2262.0,2387.0,2543.0,1.7211838,347.0,0.5379137,1.1830986,0.30046308,0.03850337,0.43510157,0.60470587,4.0595236,1.8590343,0.88687783,3.3333333,0.92584836,0.5809955,3.7585034,4.653881,-14.199187,-7.7461057,6.453081,21.445,79.505,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_0,191.0538,1992.0,1091.0,497.0,682.0,599.0,1046.0,2112.0,2506.0,2584.0,2780.0,1.8258479,374.0,0.4222136,1.2052314,0.4062585,0.12937063,0.45321485,0.6236255,4.3138566,2.3684692,0.8782991,2.9208212,0.7708978,0.54769075,3.3255427,5.183441,-14.208053,-7.448229,6.759824,21.455,79.505,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_0,270.0,1901.0,1065.0,500.0,621.0,554.0,955.0,1973.0,2276.0,2373.0,2554.0,1.7849765,394.0,0.44879898,1.108,0.38045377,0.11043519,0.45568538,0.62145543,4.2833934,2.228169,0.8921095,3.0611916,0.80109566,0.56023145,3.431408,1.4945818,-15.319604,-8.759685,6.559919,21.465,79.505,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_0,32.81232,1789.0,994.0,473.0,667.0,565.0,991.0,1874.0,2180.0,2297.0,2420.0,1.7997988,380.0,0.43273836,1.1945032,0.3959283,0.12432697,0.41893873,0.6051712,4.065487,2.3108652,0.8470765,2.682159,0.778842,0.5556177,3.1663716,2.756782,-14.707618,-7.427008,7.2806096,21.475,79.505,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_18_0,349.84534,1825.0,1020.0,473.0,591.0,571.0,929.0,1878.0,2201.0,2267.0,2456.0,1.7892157,377.0,0.44993383,1.2071881,0.37937328,0.10801564,0.45110783,0.5976039,3.9702277,2.222549,0.96615905,3.0879865,0.8050287,0.5589041,3.1961472,2.8244627,-14.724605,-7.9163165,6.8082876,21.485,79.505,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_19_0,290.41418,1824.0,979.0,485.0,639.0,556.0,929.0,1907.0,2214.0,2279.0,2474.0,1.8631257,360.0,0.42957437,1.1463917,0.3990178,0.110894464,0.45401117,0.60776013,4.098921,2.3278856,0.87010956,2.85446,0.800351,0.53673244,3.2805755,2.6571517,-14.569428,-7.707351,6.862077,21.495,79.505,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20_0,312.9346,1818.0,976.0,509.0,646.0,560.0,950.0,1878.0,2084.0,2313.0,2456.0,1.8627049,355.0,0.42196283,1.1001965,0.40650654,0.119825706,0.4421609,0.61016357,4.1303573,2.369877,0.8668731,2.8142414,0.7859922,0.5368537,3.2464285,3.4000747,-14.627904,-8.045648,6.5822563,21.505,79.505,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_21_0,321.1252,1802.0,967.0,485.0,598.0,554.0,952.0,2022.0,2341.0,2489.0,2617.0,1.8634953,363.0,0.38850945,1.1422681,0.4403935,0.16010255,0.46651724,0.63588566,4.4927797,2.57394,0.9264214,3.013378,0.72398555,0.536626,3.2527075,2.3813326,-14.545181,-7.8220468,6.7231345,21.515,79.505,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_22_0,344.9576,1905.0,1047.0,488.0,631.0,620.0,1051.0,1995.0,2242.0,2375.0,2518.0,1.8194842,356.0,0.4408421,1.2704918,0.38807714,0.10981309,0.4110395,0.5859766,3.830645,2.268386,0.98256737,3.0190175,0.80210525,0.5496063,3.0725806,1.9200809,-15.19297,-7.3078666,7.8851037,21.525,79.505,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_23_0,331.741,1767.0,1099.0,553.0,674.0,652.0,953.0,1577.0,1853.0,1786.0,1944.0,1.6078253,351.0,0.61534154,1.1790235,0.23812824,0.0053475937,0.342078,0.46513537,2.7392638,1.6251137,0.96735907,2.6216617,0.9893617,0.62195814,2.7101226,1.0528717,-15.089606,-8.03847,7.051136,21.535,79.505,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_24_0,331.73935,1898.0,1294.0,676.0,859.0,735.0,1089.0,1468.0,1618.0,1694.0,1791.0,1.4667697,348.0,0.7638725,1.0872781,0.13386881,-0.056792874,0.24375,0.39481267,2.304762,1.309119,0.8556461,2.209546,1.120425,0.68177027,2.5823128,1.0528879,-21.088303,-13.502289,7.5860143,21.544999999999998,79.505,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_25_0,151.7377,148.0,118.5,426.0,415.0,325.5,331.5,255.0,265.5,217.5,231.0,1.2489451,346.0,0.5448276,0.7640845,0.29464287,0.19015048,-0.17866667,-0.19889502,0.66820276,1.835443,0.78433734,0.3566265,0.6804598,0.8006757,0.4546851,1.0529042,-29.121159,-20.74884,8.372317,21.555,79.505,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_26_0,180.0,1933.5,1080.0,485.5,654.5,619.0,1023.5,2032.0,2314.0,2469.5,2615.0,1.7902777,358.0,0.4373355,1.2749742,0.39146358,0.12173518,0.43740553,0.59915817,3.989499,2.2865741,0.94576013,2.9541636,0.782952,0.55857253,3.1235864,0.92740995,-15.19863,-8.260051,6.93858,21.565,79.505,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_27_0,180.0,2010.5,1194.0,492.5,662.0,611.5,1022.0,2133.0,2400.5,2622.5,2673.0,1.6838359,356.0,0.45529076,1.2416244,0.37429583,0.13209583,0.44682002,0.6218305,4.2886343,2.1963987,0.923716,3.037009,0.7666349,0.59388214,3.2878168,0.46373534,-14.487472,-7.763519,6.723953,21.575,79.505,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_28_0,47.081165,175.0,137.0,477.5,518.0,372.0,371.5,290.5,294.0,254.5,245.0,1.2773722,341.0,0.5383104,0.77905756,0.3001277,0.18509895,-0.2051906,-0.18754987,0.6841398,1.8576642,0.71814674,0.33783785,0.6876228,0.7828571,0.4704301,3.4010775,-27.391739,-19.62425,7.767489,21.585,79.505,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_29_0,114.93394,1304.0,861.0,590.0,700.5,650.0,875.0,1124.5,1212.0,1227.5,1299.0,1.514518,348.0,0.7014257,1.101695,0.17548479,-0.030219238,0.1950322,0.3075899,1.8884616,1.4256679,0.92790866,1.8615274,1.0623218,0.66027606,2.0061538,1.0999007,-18.265062,-10.888969,7.376092,21.595,79.505,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_30_0,132.915,2631.5,1696.0,589.0,750.5,781.0,1197.5,1971.5,2211.5,2462.5,2530.5,1.551592,354.0,0.68873096,1.3259763,0.18432127,-0.033176284,0.3575644,0.5184215,3.153009,1.4519458,1.0406395,3.506329,1.0686294,0.64449936,3.369398,1.3618727,-15.1366005,-8.029356,7.107244,21.605,79.505,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_31_0,294.9309,1769.0,1129.0,543.8,724.7778,668.4,1015.01666,1726.4,1980.5,2012.5,2069.0,1.5668733,353.0,0.5609938,1.2291284,0.28123507,0.06439244,0.3417567,0.5013615,3.0109217,1.7825509,0.92221373,2.4407482,0.8790062,0.6382137,2.6466188,1.1000258,-15.82856,-9.162491,6.6660695,21.615,79.505,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_32_0,190.1643,2238.0,1454.75,688.25,866.86664,867.0,1305.7273,2008.1428,2217.375,2398.8572,2464.1667,1.5384086,351.0,0.6064346,1.2597166,0.24499309,0.034690984,0.307287,0.4690521,2.7668478,1.6489824,1.0001538,2.581712,0.93294424,0.6500223,2.5813148,2.8245475,-16.180653,-9.797954,6.3826995,21.625,79.505,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_33_0,58.21334,2219.5,1391.0,524.0,719.4286,723.5,1209.2,1951.5,2262.25,2416.5,2509.0,1.5956147,373.0,0.5756259,1.3807251,0.26933685,0.04249353,0.34957775,0.539172,3.3400137,1.7372394,1.0056592,3.0850873,0.9184771,0.62671775,3.0677264,1.7601999,-14.817458,-8.228183,6.5892754,21.634999999999998,79.505,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_34_0,107.214455,3613.5,2811.75,817.0,1095.5,1303.8,1699.3334,2235.0,2532.5,2772.3333,2879.0,1.2851427,358.0,1.0142179,1.5958384,-0.007058753,-0.13172387,0.2576629,0.36027607,2.1263487,0.98598146,1.1901414,3.2984939,1.3034147,0.7781237,2.771514,1.5665872,-16.886784,-9.998106,6.8886776,21.645,79.505,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_35_0,245.07524,2836.5,1990.0,684.0,941.5,991.0,1453.0,2315.75,2625.25,2746.5,2904.0,1.4253769,360.0,0.72455853,1.4488304,0.1597171,-0.016120365,0.3330273,0.469699,2.771443,1.3801508,1.0525757,3.0127456,1.032769,0.70156884,2.8622603,2.1997485,-17.714554,-10.503338,7.2112164,21.655,79.505,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_36_0,90.0,1622.25,1128.0,661.6667,878.3333,866.0,1195.6,1563.0,1730.25,1739.5,1806.0,1.438165,361.0,0.6484622,1.3088161,0.21325196,0.03487767,0.2033582,0.33525234,2.0086606,1.54211,0.9859583,1.846964,0.93259555,0.69533056,1.8732679,0.49898228,-18.683712,-11.377402,7.3063097,21.665,79.505,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_37_0,227.09885,2465.0,1540.5,571.5,725.5,732.0,1220.5,2030.5,2339.0,2495.5,2634.0,1.6001298,369.0,0.6173112,1.2808399,0.23662041,0.006148574,0.36671424,0.54639816,3.409153,1.6199286,1.0089593,3.3976567,0.987778,0.6249493,3.3674862,1.3622267,-14.361389,-8.096023,6.2653666,21.675,79.505,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_38_0,114.920296,2447.5,1600.0,529.0,735.0833,736.5,1223.6666,1825.0,2086.0,2287.0,2338.3333,1.5296875,364.0,0.6996065,1.3922496,0.17674299,-0.033900093,0.31293282,0.51281625,3.1052275,1.429375,1.0019273,3.3295546,1.0701792,0.6537283,3.32315,1.1004645,-14.410637,-8.453243,5.9573936,21.685,79.505,"{""type"":""MultiPoint"",""coordinates"":[]}"
